A,B,C,D,E,F
11,109.48,15,200.09,49.8037,18.1271
0,43.25,11,156.34,27.9856,17.4873
36,259.09,8,123.53,-64.713,-45.3125
7,85.35,38,453.45,45.305,32.916
3,61.03,7,112.54,-58.8617,-39.7027
33,240.97,12,167.37,-32.8892,-11.9707
28,211.42,13,178.36,24.4576,23.6184
18,151.39,11,156.15,-55.9045,-42.127
30,223.55,2,57.46,-13.6412,-3.14931
22,175.38,36,431.38,-9.76707,-28.3655
10,103.21,18,233.31,-38.1051,-22
20,163.01,20,255.02,7.04209,13.2442
36,259.51,29,354.56,21.9762,47.128
23,181.2,18,233.03,54.8587,32.9624
16,139.15,18,233.5,59.5798,79.0649
31,229.38,24,299.26,-81.7072,-23.4292
5,73.44,37,442.34,24.3495,60.2669
4,67.3,7,112.23,10.5172,7.6412
6,79.13,14,189.53,30.9732,44.2342
24,187.08,28,343.19,46.7903,59.8888
3,61.04,20,255.36,-82.4567,-16.0279
12,115.1,15,200.07,56.6059,60.7023
35,253.16,6,101.39,-53.3663,-13.3057
33,241.2,7,112.37,15.2385,35.8997
10,103.01,13,178.08,88.0818,42.9603
18,151.3,28,343.28,21.162,61.4587
19,157.54,10,145.31,-70.1481,-40.5
7,85.51,4,79.02,-73.4745,-55.3669
4,67.51,5,90.28,5.63816,2.05212
5,73.05,21,266.27,-32.9457,-73.9972
31,229.47,37,442.36,31.6493,74.5609
16,138.97,11,156.55,40.6156,21.5957
3,61.22,29,354.56,-31.7794,-62.3704
1,49.11,24,299.04,17.2135,5.26269
24,187,30,365.54,10.9881,23.564
8,91.54,0,35.42,-2.98357,-0.313585
39,277.5,21,266.48,57.5534,25.6244
34,247.03,25,310.2,84.0045,48.5
13,121.16,2,57.06,14.1606,21.8054
31,229.19,27,332.39,52.8614,58.7084
24,187.16,31,376.41,3.00908,3.99318
5,73.21,33,398.15,6.82059,1.57466
9,97.1,26,321.51,4.76928,7.63243
2,55.19,22,277.01,-32.6271,-15.2142
36,259.04,2,57.12,38.6125,30.1674
9,97.22,33,398.17,41.0949,26.6873
0,43.03,34,409.02,49.8964,25.4235
13,121.03,35,420.56,-18.9104,-6.51136
14,127.19,19,244.54,15.5885,8.99999
9,97.23,2,57.09,-85.7128,-47.5113
17,145.28,29,354.27,-96.4686,-10.1393
20,163,37,442.32,41.2031,68.5733
29,217.3,32,387.13,30.0079,32.1795
33,241.35,27,332.21,6.89365,1.21554
39,277.14,4,80.3,6.83695,19.8559
17,145.55,9,134.36,-30.8678,-72.7199
10,103.38,7,112.16,-77.8835,-31.4669
33,242.54,12,167.42,-5.84622,-1.34971
10,103.16,18,233.06,-16.5643,-3.82416
6,79.31,27,332.47,38.5002,26.9581
8,91.54,30,365.34,26.8413,39.7938
29,217.55,13,178.05,15.2795,7.4523
7,85.4,19,244.48,-86.6026,-50
39,277.07,24,299.07,-21.3222,-65.6229
8,91.55,21,266.52,-38.881,-83.3803
7,85.14,37,442.54,-31.9496,-11.6287
9,97.05,15,200.11,-18.3851,-15.4269
35,253.01,28,343.23,-1.46186,-4.78152
31,229.04,31,376.04,39.7789,103.627
34,247.34,12,167.04,-10.7061,-11.8903
8,91.48,30,365.34,-69.4333,-60.3574
23,181.26,16,211.47,-13.8605,-34.3058
35,253.28,9,134,-13.9995,-40.6573
4,66.98,15,200.24,-60.3575,-69.4332
1,49,1,46.03,13.5446,17.3362
19,157.27,8,123.18,35.2671,48.541
9,97.12,10,145.23,-93.8304,-14.8613
39,277.38,5,89.97,75.0643,11.889
16,139.09,15,200.09,48.2215,16.604
16,139.42,19,244.07,81.7903,39.8917
7,85.19,24,299.05,17.3583,15.0893
17,145.29,31,376.44,16.8044,6.45062
13,121.06,29,354.27,7.71451,4.63534
17,145.35,10,145.29,55.9239,59.971
8,91.27,19,244.44,-59.7717,-5.22934
1,49.17,4,79.14,-10.1766,-6.35903
33,241.34,19,244.21,-10.1429,-21.7514
12,115.07,39,464.19,28.7614,14.0279
8,91.26,19,244.07,81.5508,8.57133
12,114.99,31,376.4,26.2386,14.5443
25,193,24,299.46,79.0151,12.5147
36,259.22,1,46.05,27.5026,84.644
18,151.18,39,464.54,-13.2115,-10.6984
30,223.2,33,398.26,-2.81683,-5.29768
2,55.35,30,365.23,-20.7645,-15.6472
10,103.16,35,420.23,-8.1746,-7.36043
10,103.22,12,167,26.0044,20.3168
32,235.2,26,321.49,28.8659,44.4495
28,211,25,309.98,37.8266,84.9597
29,217.04,2,57.28,24.9054,21.6499
3,61.12,15,200.27,-20.983,-16.9916
29,217.52,22,277.1,-38.171,-48.8566
26,199.4,11,156.09,-12.8399,-2.03365
34,247.32,27,332.49,51.8319,55.5828
35,253.14,32,387.14,-45.9627,-38.5672
33,241.32,13,177.98,3.65677,3.40999
17,145.03,34,409.36,-40.0196,-46.0373
19,157.22,7,112.47,49.0814,9.54044
26,199.13,1,46.42,-39.8478,-3.48623
18,151.13,7,112.47,-84.0356,-22.5172
7,85.56,35,420.49,34.4639,85.3009
11,109.26,19,244.54,-71.2147,-68.7711
21,168.97,36,431.18,-90.2095,-38.2916
27,205.17,27,332.38,13.9058,42.7975
31,229.2,23,288.47,-8.81679,-12.1352
30,223.42,20,255.03,-79.3733,-24.2668
39,277.05,13,178.47,23.1767,38.5725
29,217.16,26,321.35,-7.25046,-3.38094
28,211.16,0,35.32,37.3432,14.3347
23,181.08,21,266.55,15.8255,15.2825
27,205.01,24,299.16,39.1435,58.0326
11,108.98,22,277.34,-2.20511,-7.69009
23,181.5,30,364.99,-6.64244,-15.6486
22,175.49,2,57.52,24.0107,62.5499
1,48.99,18,233.31,-26.598,-28.5228
33,241.45,36,431.06,-82.9038,-55.9192
11,109.48,0,35.42,-14.3348,-37.3432
16,139.41,38,453.24,18.0611,18.7028
1,49.05,25,310.32,-9.36519,-23.1796
10,103.25,15,199.97,-14.5718,-8.75564
24,187.25,37,442.17,72.8282,65.5748
11,108.98,0,35.49,70.1059,34.1929
16,139.31,17,222.43,-35.5046,-56.8192
0,43.12,3,68.02,48.5148,12.0961
18,151.29,27,332.03,-7.65044,-2.33897
14,127.33,11,156.4,20.8609,20.1451
32,235.17,2,57.42,25.2374,36.0427
38,271.5,14,189.52,-17.6121,-11.4374
30,223.28,35,420.1,71.3932,28.8447
24,187.12,10,145.41,26.1609,68.1513
26,199.37,3,68.06,42.6795,5.24038
30,223.05,24,299.09,23.2337,47.6361
12,115.48,34,409.04,9.00001,15.5885
