A,B,C,D
1,38,-44.95,473.12
2,16,-39.8,187.14
3,16,-34.8,187.07
4,26,-29.69,317.19
5,16,-24.77,187.33
6,1,-19.7,-8.02
7,6,-14.88,57.31
8,8,-9.77,83.14
9,12,-4.91,135.1
10,6,0.27,57.19
11,7,5.25,70.26
12,21,10.01,252
13,37,15.17,460.15
14,6,20.35,57.08
15,27,25.04,330.26
16,14,30.05,161.1
17,7,35.11,70.16
18,32,40.11,395.02
19,8,45.15,83.05
20,13,50.21,148.34
21,34,55.28,421.21
22,15,60.01,174.25
23,9,64.98,96.36
24,26,70.04,317.34
25,29,75.23,356
26,17,80.3,199.99
27,29,85.29,356.04
28,8,90.21,83.17
29,4,95.22,31.27
30,11,100.35,122.1
31,8,105.21,83.33
32,23,110.36,278.36
33,10,115.06,109.29
34,9,121,96.24
35,29,125.35,356.13
36,7,130.29,70.22
37,31,135.3,382.04
38,22,140.36,265.04
39,37,145.07,460
40,13,150.36,148.03
41,10,155.01,109.03
42,26,160.28,317.27
43,16,165.18,187.37
44,16,170.09,186.98
45,3,175.31,18.35
46,10,179.98,109.26
47,27,185.21,330.1
48,33,190.35,408
49,31,195.32,382.1
50,33,199.98,408
51,38,205.08,473.03
52,4,210.26,31.25
53,33,215.03,408.06
54,32,220.19,395.09
55,25,225.14,304.02
56,22,230.17,265.34
57,3,235.04,18.17
58,15,240.29,174.14
59,10,245.2,109.01
60,22,250.13,265.01
61,16,255.11,187.11
62,22,260.07,265.32
63,9,265,96.37
64,17,270.25,200.1
65,21,275.1,252.19
66,25,280.24,304.3
67,22,285.19,265.36
68,1,290.27,-7.81
69,18,295.37,213.01
70,21,300.11,252.16
71,24,305.27,291.21
72,29,310.09,356.31
73,15,315.11,174.25
74,6,320.2,57.04
75,11,325.01,122.16
76,32,330.27,395.35
77,24,335.01,291.16
78,14,340.02,161.05
79,35,345.12,434.04
80,30,350.25,369.09
81,0,355.01,-21.01
82,23,360.31,278.1
83,8,365.06,83.15
84,28,370.13,342.98
85,34,375.24,421.33
86,5,380.08,44.14
87,2,385.24,5.17
88,12,390.3,135.14
89,20,395.17,239.28
90,18,400.07,213.08
91,30,405.07,369.11
92,31,410.22,382.36
93,35,415.23,434.05
94,13,420.11,148.12
95,5,425.05,44.3
96,0,430.02,-20.68
97,17,435.04,200.1
98,28,440.17,343.02
99,4,445.29,31.21
100,27,449.99,330.3
